Sat ephemeris file created in MATLAB using delkep_wrapper.m @ 23-Jan-2017 21:40:33
Satellite1


      Time (UTCG)              x (km)          y (km)          z (km)   
------------------------    ------------    ------------    ------------
01 Sep 2015 00:00:00.000    -5282.324274     4559.567641        0.000000 
01 Sep 2015 00:01:00.000    -5231.186972     4596.326069      448.415368 
01 Sep 2015 00:02:00.000    -5158.020910     4613.730078      894.942384 
01 Sep 2015 00:03:00.000    -5063.133741     4611.706898     1337.700647 
01 Sep 2015 00:04:00.000    -4946.924588     4590.265561     1774.825629 
01 Sep 2015 00:05:00.000    -4809.882365     4549.496864     2204.476522 
01 Sep 2015 00:06:00.000    -4652.583723     4489.572977     2624.843994 
01 Sep 2015 00:07:00.000    -4475.690618     4410.746727     3034.157809 
01 Sep 2015 00:08:00.000    -4279.947532     4313.350522     3430.694276 
01 Sep 2015 00:09:00.000    -4066.178333     4197.794951     3812.783514 
01 Sep 2015 00:10:00.000    -3835.282813     4064.567059     4178.816481 
01 Sep 2015 00:11:00.000    -3588.232897     3914.228285     4527.251752 
01 Sep 2015 00:12:00.000    -3326.068553     3747.412106     4856.622005 
01 Sep 2015 00:13:00.000    -3049.893417     3564.821357     5165.540209 
01 Sep 2015 00:14:00.000    -2760.870140     3367.225279     5452.705457 
01 Sep 2015 00:15:00.000    -2460.215501     3155.456274     5716.908448 
01 Sep 2015 00:16:00.000    -2149.195280     2930.406400     5957.036578 
01 Sep 2015 00:17:00.000    -1829.118930     2693.023608     6172.078629 
01 Sep 2015 00:18:00.000    -1501.334064     2444.307759     6361.129021 
01 Sep 2015 00:19:00.000    -1167.220783     2185.306404     6523.391632 
01 Sep 2015 00:20:00.000     -828.185860     1917.110374     6658.183146 
01 Sep 2015 00:21:00.000     -485.656823     1640.849188     6764.935935 
01 Sep 2015 00:22:00.000     -141.075942     1357.686294     6843.200444 
01 Sep 2015 00:23:00.000      204.105847     1068.814171     6892.647088 
01 Sep 2015 00:24:00.000      548.435045      775.449304     6913.067640 
01 Sep 2015 00:25:00.000      890.461719      478.827065     6904.376104 
01 Sep 2015 00:26:00.000     1228.745598      180.196506     6866.609082 
01 Sep 2015 00:27:00.000     1561.862146     -119.184893     6799.925618 
01 Sep 2015 00:28:00.000     1888.408556     -418.056529     6704.606527 
01 Sep 2015 00:29:00.000     2207.009658     -715.159975     6581.053213 
01 Sep 2015 00:30:00.000     2516.323714    -1009.244285     6429.785980 
01 Sep 2015 00:31:00.000     2815.048064    -1299.071256     6251.441840 
01 Sep 2015 00:32:00.000     3101.924612    -1583.420646     6046.771831 
01 Sep 2015 00:33:00.000     3375.745130    -1861.095309     5816.637850 
01 Sep 2015 00:34:00.000     3635.356340    -2130.926234     5562.009033 
01 Sep 2015 00:35:00.000     3879.664775    -2391.777470     5283.957662 
01 Sep 2015 00:36:00.000     4107.641386    -2642.550906     4983.654660 
01 Sep 2015 00:37:00.000     4318.325870    -2882.190893     4662.364652 
01 Sep 2015 00:38:00.000     4510.830725    -3109.688690     4321.440644 
01 Sep 2015 00:39:00.000     4684.344978    -3324.086706     3962.318325 
01 Sep 2015 00:40:00.000     4838.137609    -3524.482539     3586.510020 
01 Sep 2015 00:41:00.000     4971.560629    -3710.032764     3195.598318 
