Sat ephemeris file created in MATLAB using delkep_wrapper.m @ 23-Jan-2017 22:16:32
sat3


      Time (UTCG)              x (km)          y (km)          z (km)   
------------------------    ------------    ------------    ------------
15 Mar 2012 00:00:00.000     1492.971246    -1797.034132     6575.280374 
15 Mar 2012 00:01:00.000     1099.751689    -1610.312272     6700.003539 
15 Mar 2012 00:02:00.000      701.896364    -1416.818537     6796.511866 
15 Mar 2012 00:03:00.000      301.080556    -1217.367855     6864.398941 
15 Mar 2012 00:04:00.000     -101.007964    -1012.800194     6903.378881 
15 Mar 2012 00:05:00.000     -502.676045     -803.977035     6913.287534 
15 Mar 2012 00:06:00.000     -902.232288     -591.777736     6894.083175 
15 Mar 2012 00:07:00.000    -1297.994164     -377.095834     6845.846675 
15 Mar 2012 00:08:00.000    -1688.295101     -160.835280     6768.781166 
15 Mar 2012 00:09:00.000    -2071.491504       56.093366     6663.211185 
15 Mar 2012 00:10:00.000    -2445.969673      272.776770     6529.581304 
15 Mar 2012 00:11:00.000    -2810.152602      488.302668     6368.454261 
15 Mar 2012 00:12:00.000    -3162.506616      701.763708     6180.508589 
15 Mar 2012 00:13:00.000    -3501.547834      912.261269     5966.535759 
15 Mar 2012 00:14:00.000    -3825.848415     1118.909245     5727.436846 
15 Mar 2012 00:15:00.000    -4134.042573     1320.837774     5464.218736 
15 Mar 2012 00:16:00.000    -4424.832329     1517.196899     5177.989884 
15 Mar 2012 00:17:00.000    -4696.992976     1707.160150     4869.955648 
15 Mar 2012 00:18:00.000    -4949.378237     1889.928016     4541.413213 
15 Mar 2012 00:19:00.000    -5180.925096     2064.731316     4193.746125 
15 Mar 2012 00:20:00.000    -5390.658271     2230.834430     3828.418469 
15 Mar 2012 00:21:00.000    -5577.694325     2387.538401     3446.968700 
15 Mar 2012 00:22:00.000    -5741.245386     2534.183872     3051.003168 
15 Mar 2012 00:23:00.000    -5880.622467     2670.153863     2642.189350 
15 Mar 2012 00:24:00.000    -5995.238366     2794.876363     2222.248829 
15 Mar 2012 00:25:00.000    -6084.610143     2907.826741     1792.950046 
15 Mar 2012 00:26:00.000    -6148.361150     3008.529950     1356.100850 
15 Mar 2012 00:27:00.000    -6186.222627     3096.562525      913.540886 
15 Mar 2012 00:28:00.000    -6198.034825     3171.554365      467.133847 
15 Mar 2012 00:29:00.000    -6183.747687     3233.190287       18.759630 
15 Mar 2012 00:30:00.000    -6143.421057     3281.211354     -429.693587 
15 Mar 2012 00:31:00.000    -6077.224431     3315.415958     -876.337293 
15 Mar 2012 00:32:00.000    -5985.436243     3335.660672    -1319.290595 
15 Mar 2012 00:33:00.000    -5868.442695     3341.860846    -1756.688143 
15 Mar 2012 00:34:00.000    -5726.736132     3333.990965    -2186.687983 
15 Mar 2012 00:35:00.000    -5560.912968     3312.084752    -2607.479313 
15 Mar 2012 00:36:00.000    -5371.671180     3276.235024    -3017.290110 
15 Mar 2012 00:37:00.000    -5159.807367     3226.593299    -3414.394593 
15 Mar 2012 00:38:00.000    -4926.213395     3163.369153    -3797.120487 
15 Mar 2012 00:39:00.000    -4671.872650     3086.829341    -4163.856071 
15 Mar 2012 00:40:00.000    -4397.855887     2997.296666    -4513.056957 
15 Mar 2012 00:41:00.000    -4105.316734     2895.148620    -4843.252605 
15 Mar 2012 00:42:00.000    -3795.486826     2780.815792    -5153.052503 
15 Mar 2012 00:43:00.000    -3469.670624     2654.780054    -5441.152033 
15 Mar 2012 00:44:00.000    -3129.239922     2517.572526    -5706.337959 
15 Mar 2012 00:45:00.000    -2775.628073     2369.771344    -5947.493539 
15 Mar 2012 00:46:00.000    -2410.323949     2211.999220    -6163.603226 
15 Mar 2012 00:47:00.000    -2034.865678     2044.920819    -6353.756946 
15 Mar 2012 00:48:00.000    -1650.834165     1869.239959    -6517.153930 
15 Mar 2012 00:49:00.000    -1259.846434     1685.696647    -6653.106086 
15 Mar 2012 00:50:00.000     -863.548823     1495.063960    -6761.040896 
15 Mar 2012 00:51:00.000     -463.610047     1298.144791    -6840.503829 
15 Mar 2012 00:52:00.000      -61.714176     1095.768466    -6891.160254 
15 Mar 2012 00:53:00.000      340.446459      888.787253    -6912.796846 
15 Mar 2012 00:54:00.000      741.178392      678.072769    -6905.322492 
15 Mar 2012 00:55:00.000     1138.794151      464.512316    -6868.768667 
15 Mar 2012 00:56:00.000     1531.619367      249.005138    -6803.289305 
15 Mar 2012 00:57:00.000     1917.999823       32.458637    -6709.160151 
15 Mar 2012 00:58:00.000     2296.308420     -184.215445    -6586.777598 
15 Mar 2012 00:59:00.000     2664.952030     -400.104869    -6436.657020 
15 Mar 2012 01:00:00.000     3022.378201     -614.300738    -6259.430599 
15 Mar 2012 01:01:00.000     3367.081703     -825.901320    -6055.844667 
