Sat ephemeris file created in MATLAB using delkep_wrapper.m @ 10-Apr-2017 17:11:31
sat1


      Time (UTCG)              x (km)          y (km)          z (km)   
------------------------    ------------    ------------    ------------
15 Mar 2017 10:00:00.000     6978.008800        0.000000        0.000000 
15 Mar 2017 10:00:10.000     6977.597266       75.783974        0.000000 
15 Mar 2017 10:00:20.000     6976.362711      151.559010        0.000000 
15 Mar 2017 10:00:30.000     6974.305282      227.316169        0.000000 
15 Mar 2017 10:00:40.000     6971.425222      303.046515        0.000000 
15 Mar 2017 10:00:50.000     6967.722869      378.741117        0.000000 
15 Mar 2017 10:01:00.000     6963.198661      454.391045        0.000000 
15 Mar 2017 10:01:10.000     6957.853131      529.987377        0.000000 
15 Mar 2017 10:01:20.000     6951.686910      605.521197        0.000000 
15 Mar 2017 10:01:30.000     6944.700725      680.983593        0.000000 
15 Mar 2017 10:01:40.000     6936.895400      756.365667        0.000000 
15 Mar 2017 10:01:50.000     6928.271856      831.658526        0.000000 
15 Mar 2017 10:02:00.000     6918.831110      906.853289        0.000000 
15 Mar 2017 10:02:10.000     6908.574275      981.941088        0.000000 
15 Mar 2017 10:02:20.000     6897.502562     1056.913065        0.000000 
15 Mar 2017 10:02:30.000     6885.617275     1131.760376        0.000000 
15 Mar 2017 10:02:40.000     6872.919818     1206.474195        0.000000 
15 Mar 2017 10:02:50.000     6859.411688     1281.045708        0.000000 
15 Mar 2017 10:03:00.000     6845.094478     1355.466119        0.000000 
15 Mar 2017 10:03:10.000     6829.969877     1429.726651        0.000000 
15 Mar 2017 10:03:20.000     6814.039668     1503.818544        0.000000 
15 Mar 2017 10:03:30.000     6797.305732     1577.733059        0.000000 
15 Mar 2017 10:03:40.000     6779.770041     1651.461477        0.000000 
15 Mar 2017 10:03:50.000     6761.434664     1724.995103        0.000000 
15 Mar 2017 10:04:00.000     6742.301763     1798.325262        0.000000 
15 Mar 2017 10:04:10.000     6722.373596     1871.443305        0.000000 
15 Mar 2017 10:04:20.000     6701.652513     1944.340609        0.000000 
15 Mar 2017 10:04:30.000     6680.140959     2017.008574        0.000000 
15 Mar 2017 10:04:40.000     6657.841469     2089.438629        0.000000 
15 Mar 2017 10:04:50.000     6634.756675     2161.622231        0.000000 
15 Mar 2017 10:05:00.000     6610.889300     2233.550866        0.000000 
15 Mar 2017 10:05:10.000     6586.242159     2305.216050        0.000000 
15 Mar 2017 10:05:20.000     6560.818159     2376.609329        0.000000 
15 Mar 2017 10:05:30.000     6534.620298     2447.722283        0.000000 
15 Mar 2017 10:05:40.000     6507.651667     2518.546524        0.000000 
15 Mar 2017 10:05:50.000     6479.915447     2589.073698        0.000000 
15 Mar 2017 10:06:00.000     6451.414909     2659.295485        0.000000 
15 Mar 2017 10:06:10.000     6422.153416     2729.203605        0.000000 
15 Mar 2017 10:06:20.000     6392.134418     2798.789809        0.000000 
15 Mar 2017 10:06:30.000     6361.361456     2868.045892        0.000000 
15 Mar 2017 10:06:40.000     6329.838160     2936.963683        0.000000 
15 Mar 2017 10:06:50.000     6297.568249     3005.535054        0.000000 
15 Mar 2017 10:07:00.000     6264.555528     3073.751917        0.000000 
15 Mar 2017 10:07:10.000     6230.803892     3141.606225        0.000000 
15 Mar 2017 10:07:20.000     6196.317321     3209.089976        0.000000 
15 Mar 2017 10:07:30.000     6161.099883     3276.195208        0.000000 
15 Mar 2017 10:07:40.000     6125.155733     3342.914007        0.000000 
15 Mar 2017 10:07:50.000     6088.489109     3409.238504        0.000000 
15 Mar 2017 10:08:00.000     6051.104338     3475.160875        0.000000 
15 Mar 2017 10:08:10.000     6013.005828     3540.673344        0.000000 
15 Mar 2017 10:08:20.000     5974.198072     3605.768185        0.000000 
15 Mar 2017 10:08:30.000     5934.685650     3670.437719        0.000000 
15 Mar 2017 10:08:40.000     5894.473221     3734.674318        0.000000 
15 Mar 2017 10:08:50.000     5853.565528     3798.470405        0.000000 
15 Mar 2017 10:09:00.000     5811.967397     3861.818457        0.000000 
15 Mar 2017 10:09:10.000     5769.683733     3924.711000        0.000000 
15 Mar 2017 10:09:20.000     5726.719526     3987.140616        0.000000 
15 Mar 2017 10:09:30.000     5683.079841     4049.099941        0.000000 
15 Mar 2017 10:09:40.000     5638.769827     4110.581669        0.000000 
15 Mar 2017 10:09:50.000     5593.794710     4171.578545        0.000000 
15 Mar 2017 10:10:00.000     5548.159794     4232.083377        0.000000 
15 Mar 2017 10:10:10.000     5501.870464     4292.089027        0.000000 
15 Mar 2017 10:10:20.000     5454.932178     4351.588417        0.000000 
15 Mar 2017 10:10:30.000     5407.350473     4410.574529        0.000000 
15 Mar 2017 10:10:40.000     5359.130961     4469.040407        0.000000 
15 Mar 2017 10:10:50.000     5310.279330     4526.979153        0.000000 
15 Mar 2017 10:11:00.000     5260.801342     4584.383933        0.000000 
15 Mar 2017 10:11:10.000     5210.702834     4641.247978        0.000000 
15 Mar 2017 10:11:20.000     5159.989713     4697.564579        0.000000 
15 Mar 2017 10:11:30.000     5108.667963     4753.327094        0.000000 
15 Mar 2017 10:11:40.000     5056.743636     4808.528945        0.000000 
15 Mar 2017 10:11:50.000     5004.222857     4863.163622        0.000000 
15 Mar 2017 10:12:00.000     4951.111821     4917.224680        0.000000 
15 Mar 2017 10:12:10.000     4897.416792     4970.705742        0.000000 
15 Mar 2017 10:12:20.000     4843.144105     5023.600501        0.000000 
15 Mar 2017 10:12:30.000     4788.300160     5075.902717        0.000000 
15 Mar 2017 10:12:40.000     4732.891426     5127.606221        0.000000 
15 Mar 2017 10:12:50.000     4676.924439     5178.704915        0.000000 
15 Mar 2017 10:13:00.000     4620.405801     5229.192772        0.000000 
15 Mar 2017 10:13:10.000     4563.342178     5279.063836        0.000000 
15 Mar 2017 10:13:20.000     4505.740300     5328.312225        0.000000 
15 Mar 2017 10:13:30.000     4447.606962     5376.932130        0.000000 
15 Mar 2017 10:13:40.000     4388.949021     5424.917816        0.000000 
15 Mar 2017 10:13:50.000     4329.773395     5472.263623        0.000000 
15 Mar 2017 10:14:00.000     4270.087065     5518.963967        0.000000 
15 Mar 2017 10:14:10.000     4209.897071     5565.013339        0.000000 
15 Mar 2017 10:14:20.000     4149.210511     5610.406308        0.000000 
15 Mar 2017 10:14:30.000     4088.034545     5655.137520        0.000000 
15 Mar 2017 10:14:40.000     4026.376388     5699.201698        0.000000 
